feature,importance
demand_rolling_median_28d,0.5561634967292401
demand_expanding_mean,0.03403442523526214
category_avg_demand,0.019170003393554805
demand_expanding_std,0.015344792526338202
store_type_avg_demand,0.01450394233755433
product_avg_demand,0.0134631703968145
store_avg_demand,0.013064018392199695
max_stock_level,0.012077420386932627
demand_rolling_mean_28d,0.011847964691389115
day_of_year,0.011737245965503507
revenue_lag_14d,0.011337399949862945
revenue_lag_7d,0.01129776533425855
demand_rolling_std_14d,0.011069594850998697
demand_rolling_std_7d,0.010810218933327755
revenue_lag_1d,0.010537652477802367
demand_cv_28d,0.010448773235121445
revenue_lag_28d,0.010182182877002278
day_of_week,0.010122906484068153
stock_coverage_days,0.00960516209111771
demand_rolling_mean_14d,0.009501257151750053
demand_lag_14d,0.009496729139713424
reorder_point,0.00937567760126794
demand_lag_28d,0.008890855339481772
demand_rolling_mean_7d,0.008494375387690408
demand_lag_7d,0.008488597106622505
demand_lag_1d,0.008485915640235273
day_of_month,0.008174405407693708
demand_rolling_std_28d,0.008125648190181165
demand_rolling_median_14d,0.00618941806117999
days_since_start,0.005912698652339207
effective_price,0.005816157279648201
trend_linear,0.005632380144969572
stock_to_max_ratio,0.0055862871436707226
stock_vs_max,0.0055816084547749166
discount_amount,0.00508732388387844
stock_vs_reorder,0.004680606587862271
quantity_on_hand,0.004679917866908206
demand_rolling_max_28d,0.004619934592002042
weight_kg,0.004311967895158437
demand_rolling_max_7d,0.004059206413021132
promotion_last_14d,0.004041491080597521
demand_rolling_max_14d,0.004014768209884867
demand_rolling_min_7d,0.003994299945389268
volume_m3,0.0039865977219985535
demand_rolling_median_7d,0.003975286949196464
cost_price,0.0036723738649001567
dow_cos,0.0035522241097079126
demand_rolling_min_14d,0.003460031772907463
month_sin,0.0034146588475880567
demand_rolling_min_28d,0.003218901800578552
week_of_year,0.003205211217737797
holiday_multiplier,0.003188215550275309
promotion_last_7d,0.0029007025830425966
price_vs_cost,0.0024217921789128245
reliability_score,0.0023475854173309442
discount_pct,0.0019484194813414652
lead_time_days,0.0018957779448812685
price_margin_pct,0.0017610302414010227
dow_sin,0.0017244503421535414
month_cos,0.0015542836828186279
month,0.00041942556370852584
is_month_end,0.0003049520834304033
zero_demand_pct_28d,0.0002739507318152658
is_holiday,0.00025225985915538503
is_month_start,0.0001713179717013769
is_weekend,0.00011673542137103586
quarter,0.00010506021648646158
year,6.909098128916222e-05
